City,Country,Latitude,Longitude,Climate
Vancouver,Canada,49.24966,-123.119339,Marine - Temperate
Portland,United States,45.523449,-122.676208,Marine - Temperate
San Francisco,United States,37.774929,-122.419418,Marine - Temperate
Seattle,United States,47.606209,-122.332069,Marine - Temperate
Los Angeles,United States,34.052231,-118.243683,Hot - Dry
San Diego,United States,32.715328,-117.157257,Hot - Dry
Las Vegas,United States,36.174969,-115.137222,Hot - Dry
Phoenix,United States,33.44838,-112.074043,Hot - Dry
Albuquerque,United States,35.084492,-106.651138,Mixed - Dry
Denver,United States,39.739151,-104.984703,Cold - Dry
San Antonio,United States,29.42412,-98.493629,Hot - Humid
Dallas,United States,32.783058,-96.806671,Hot - Humid
Houston,United States,29.763281,-95.363274,Hot - Humid
Kansas City,United States,39.099731,-94.578568,Mixed - Humid
Minneapolis,United States,44.979969,-93.26384,Cold - Humid
Saint Louis,United States,38.62727,-90.197891,Mixed - Humid
Chicago,United States,41.850029,-87.650047,Cold - Humid
Nashville,United States,36.16589,-86.784439,Mixed - Humid
Indianapolis,United States,39.768379,-86.158043,Cold - Humid
Atlanta,United States,33.749001,-84.387978,Mixed - Humid
Detroit,United States,42.331429,-83.045753,Cold - Humid
Jacksonville,United States,30.33218,-81.655647,Hot - Humid
Charlotte,United States,35.227089,-80.843132,Mixed - Humid
Miami,United States,25.774269,-80.193657,Hot - Humid
Pittsburgh,United States,40.44062,-79.995888,Cold - Humid
Toronto,Canada,43.700111,-79.416298,Cold - Humid
Philadelphia,United States,39.952339,-75.163788,Cold - Humid
New York,United States,40.714272,-74.005966,Cold - Humid
Montreal,Canada,45.508839,-73.587807,Cold - Humid
Boston,United States,42.358429,-71.059769,Cold - Humid
Beersheba,Israel,31.25181,34.791302,NA
Tel Aviv District,Israel,32.083328,34.799999,NA
Eilat,Israel,29.55805,34.948212,NA
Haifa,Israel,32.815559,34.98917,NA
Nahariyya,Israel,33.005859,35.09409,NA
Jerusalem,Israel,31.769039,35.216331,NA
